,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_w,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,PB,MA5,MA10,MA20,MA30,RSI6,RSI12,RSI24,MTM,CCI,EMA12,EMA26,DIF,DEA,MACD,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER
377,399001.SZ,20190625,9118.1019,9206.1836,9206.1836,9004.7594,9212.1172,-94.0153,-1.0206,279970008.0,268990538.8,201.42419999999947,2.21,26899053.88,2689.91,28380934.45,-1481880.57,-5.22,28380934.45,34512177.47,31463333.8,-1481880.5700000003,-6131243.02,3048843.669999998,-5.22,-17.77,9.69,0,2.43,9121.034959999995,8990.681280000003,8925.230534999999,8956.883173333332,19.24152248857961,30.995134727577422,50.72933114505136,-337.22910000000047,-69.25397115253897,8971.356,8927.522661538462,43.833338461538006,-62.229589743588804,212.12585641025362,28.829889149398102,39.80643842261199,6.876790602970331,9259.645757819737,8925.230535000012,8590.815312180286
378,399001.SZ,20190624,9212.1172,9220.2255,9251.4845,9171.3509,9214.2673,-2.1501,-0.0233,286084416.0,283809344.5,80.13360000000102,0.87,28380934.45,2838.09,34512177.47,-6131243.02,-17.77,34512177.47,31463333.8,27844726.42,-6131243.02,3048843.669999998,3618607.379999999,-17.77,9.69,13.0,0,2.46,9058.277739999994,8982.638420000003,8918.316765,8956.391859999998,24.15221908871466,39.516664019638,46.88772028115571,-401.9904999999999,-60.92518222770026,8926.925799999999,8922.98753076923,3.938269230769947,-76.68276495726383,161.24206837606755,21.79296648996881,30.769744715219783,3.8394100394668627,9242.042901699902,8918.31676500001,8594.590628300119
379,399001.SZ,20190621,9214.2673,9181.6414,9252.546,9158.3242,9134.9593,79.308,0.8682,351673725.0,345121774.7,94.22180000000117,1.02,34512177.47,3451.22,31463333.8,3048843.67,9.69,31463333.8,27844726.42,18484747.23,3048843.669999998,3618607.379999999,9359979.190000001,9.69,13.0,50.64,3,2.46,8972.028859999995,8932.605290000003,8896.549179999998,8957.167569999998,43.93672990736414,39.62899776132465,48.86957235993161,-262.66079999999965,10.700045173721907,8888.086549999998,8926.11086153846,-38.024311538461916,-88.3030019230755,100.55738076922717,27.65481440995369,26.092556683106903,30.77932986364727,9195.960124287323,8896.54918000001,8597.138235712699
380,399001.SZ,20190620,9134.9593,8923.5677,9183.1469,8900.7495,8925.7291,209.2302,2.3441,317210774.0,314633338.0,282.39739999999983,3.09,31463333.8,3146.33,27844726.42,3618607.38,13.0,27844726.42,18484747.23,19256566.24,3618607.379999999,9359979.190000001,-771819.0099999979,13.0,50.64,-4.01,2,2.44,8891.200739999995,8869.672510000004,8876.312554999999,8945.935566666663,44.319809005499565,45.06675164973292,54.98075247637358,-180.24309999999969,54.129656200871494,8849.253558333332,8927.83248076923,-78.57892243589777,-100.0947529202262,43.031660968656865,46.39374802920051,31.947176309707704,75.28689146818613,9139.626377849581,8876.31255500001,8612.998732150438
381,399001.SZ,20190619,8925.7291,9051.8459,9084.1806,8923.4371,8804.3158,121.4133,1.379,275307784.0,278447264.2,160.7435000000005,1.8,27844726.42,2784.47,18484747.23,9359979.19,50.64,18484747.23,19256566.24,25461755.02,9359979.190000001,-771819.0099999979,-6205188.780000001,50.64,-4.01,-24.37,1,2.38,8854.530179999994,8830.781200000003,8871.625774999999,8941.52134333333,54.31327939326081,48.14630284934343,54.19006685687118,111.94419999999991,51.21235567756202,8826.089166666667,8924.117288461537,-98.02812179487046,-108.22199800569615,20.387752421651385,58.4714089469442,44.17332379536617,87.06757925010027,9119.225886239303,8871.625775000011,8624.02566376072
382,399001.SZ,20190618,8804.3158,8785.7697,8839.2311,8722.934,8780.8728,23.443,0.267,193696117.0,184847472.3,116.29710000000159,1.32,18484747.23,1848.47,19256566.24,-771819.01,-4.01,19256566.24,25461755.02,25803617.79,-771819.0099999979,-6205188.780000001,-341862.76999999955,-4.01,-24.37,-1.32,0,2.35,8860.327599999995,8813.035430000004,8879.715375,8946.978976666664,29.420887281225504,49.12431734934484,49.41834414801788,-92.52989999999954,113.51277544313308,8825.836291666667,8930.949342307691,-105.11305064102453,-114.64529615384426,19.064491025639455,71.80909615751187,58.8914177112189,97.64445305009782,9143.875880922558,8879.71537500001,8615.554869077463
383,399001.SZ,20190617,8780.8728,8807.8356,8864.7722,8753.4194,8810.1267,-29.2539,-0.332,205212912.0,192565662.4,111.35279999999875,1.27,19256566.24,1925.66,25461755.02,-6205188.78,-24.37,25461755.02,25803617.79,29033434.41,-6205188.780000001,-341862.76999999955,-3229816.620000001,-24.37,-1.32,-11.12,0,2.34,8906.999099999995,8818.302510000005,8885.30493,8951.619136666664,24.23330420793607,52.307934343053006,50.75125697157128,-195.93329999999878,103.563503852543,8837.422391666667,8947.52906153846,-110.1066698717932,-123.67075455840252,27.12816937321864,80.36650459451864,70.21566989965828,100.66817398423939,9147.57130189156,8885.304930000011,8623.038558108463
384,399001.SZ,20190614,8810.1267,8956.9231,8994.1618,8801.3262,8951.6065,-141.4798,-1.5805,273658053.0,254617550.2,192.83560000000034,2.19,25461755.02,2546.18,25803617.79,-341862.77,-1.32,25803617.79,29033434.41,31097176.13,-341862.76999999955,-3229816.620000001,-2063741.7199999988,-1.32,-11.12,-6.64,0,2.35,8893.181719999997,8832.484690000005,8896.270714999999,8981.40786333333,40.281752714079424,53.50791104501933,53.35646099192495,-64.08050000000003,20.702030625493162,8856.546158333333,8951.238076923075,-94.69191858974227,-136.16777286324577,82.951708547007,85.752915329688,79.30950536057289,98.63973526791821,9158.494072156635,8896.27071500001,8634.047357843385
385,399001.SZ,20190613,8951.6065,8948.5771,8974.7967,8866.2233,8954.7162,-3.1097,-0.0347,268631473.0,258036177.9,108.57340000000113,1.21,25803617.79,2580.36,29033434.41,-3229816.62,-11.12,29033434.41,31097176.13,20422308.18,-3229816.620000001,-2063741.7199999988,10674867.95,-11.12,-6.64,52.27,0,2.38,8848.144279999997,8845.806920000006,8920.43057,9008.486749999995,40.49067099994625,50.45412418736282,46.40860671625985,-203.33510000000024,-46.952330639429405,8875.343383333335,8958.638303846152,-83.29492051281704,-151.75478888888654,136.919736752139,86.18083698529126,84.10008563649934,90.34233968287512,9231.030581045508,8920.430570000011,8609.830558954514
386,399001.SZ,20190612,8954.7162,9008.5649,9038.8716,8930.9101,9037.6733,-82.9571,-0.9179,295738673.0,290334344.1,107.96150000000125,1.21,29033434.41,2903.34,31097176.13,-2063741.72,-6.64,31097176.13,20422308.18,22181716.25,-2063741.7199999988,10674867.95,-1759408.0700000003,-6.64,52.27,-7.93,0,2.38,8807.032219999996,8851.682070000006,8935.801715,9036.127263333328,50.61888282914694,41.143435844989455,48.83964301131512,-97.72960000000057,-1.0297338488334011,8877.69505,8963.940288461537,-86.24523846153716,-171.05637136751932,169.62226581196433,64.01245647908199,78.64873626468714,34.73989690787167,9279.695193100686,8935.801715000012,8591.908236899339
387,399001.SZ,20190611,9037.6733,8721.2723,9045.1172,8718.4719,8711.7859,325.8874,3.7408,316531070.0,310971761.3,326.64530000000013,3.61,31097176.13,3109.72,20422308.18,10674867.95,52.27,20422308.18,22181716.25,23258609.21,10674867.95,-1759408.0700000003,-1076892.960000001,52.27,-7.93,-4.63,1,2.4,8765.743259999994,8859.779790000008,8939.98412,9067.890879999994,56.04473381590004,42.99536550743977,50.46716823243731,-114.97869999999966,118.43868725920056,8862.865825,8963.509688461536,-100.64386346153515,-195.45332670939973,189.61892649572917,43.35821038485415,64.51716794974253,1.0402952550773819,9286.718917004357,8939.984120000012,8593.249322995667
388,399001.SZ,20190610,8711.7859,8621.732,8748.9725,8582.4777,8584.9395,126.8464,1.4775,205315211.0,204223081.8,166.4948000000004,1.91,20422308.18,2042.23,22181716.25,-1759408.07,-7.93,22181716.25,23258609.21,24131952.54,-1759408.0700000003,-1076892.960000001,-873343.3299999982,-7.93,-4.63,-3.62,0,2.32,8729.605919999995,8853.995110000007,8943.26858,9107.844133333327,57.79400319590783,54.128122349341176,47.80305357998405,231.5630999999994,95.03145839400486,8843.854283333334,8988.004353846152,-144.15007051281827,-222.84785940170775,157.39557777777895,42.28078067237562,49.88381584543731,27.074710326252244,9294.853182302488,8943.26858000001,8591.683977697534
389,399001.SZ,20190606,8584.9395,8741.827,8741.827,8557.5824,8746.0462,-161.1067,-1.8421,230614565.0,221817162.5,184.2446,2.15,22181716.25,2218.17,23258609.21,-1076892.96,-4.63,23258609.21,24131952.54,27109873.38,-1076892.960000001,-873343.3299999982,-2977920.84,-4.63,-3.62,-10.98,0,2.29,8771.787659999995,8860.493070000008,8969.44871,9154.939929999993,63.45593273921223,56.001272576012695,59.090798261445585,425.41849999999977,4.187945209602024,8871.307433333333,9023.03156153846,-151.72412820512727,-249.15222628205004,194.85619615384553,65.01095092588447,50.216647327704806,94.59955812224382,9326.127976362783,8969.448710000011,8612.76944363724
390,399001.SZ,20190605,8746.0462,8831.1345,8851.1196,8729.2109,8748.2714,-2.2252,-0.0254,224442496.0,232586092.1,121.90869999999995,1.39,23258609.21,2325.86,24131952.54,-873343.33,-3.62,24131952.54,27109873.38,24618811.99,-873343.3299999982,-2977920.84,2491061.3900000006,-3.62,-10.98,10.12,0,2.32,8843.469559999994,8882.952600000008,8984.067095,9209.585499999994,65.55256863582153,48.072569053300334,58.156540969554996,289.64719999999943,128.02617667091775,8913.189233333334,9069.027038461538,-155.8378051282034,-281.1532344017083,250.63085854700978,70.59912738658574,59.29695299494867,93.20347616985987,9297.904402200867,8984.067095000011,8670.229787799155
391,399001.SZ,20190604,8748.2714,8854.4957,8868.0891,8697.4947,8856.9866,-108.7152,-1.2275,238852099.0,241319525.4,170.59439999999995,1.95,24131952.54,2413.2,27109873.38,-2977920.84,-10.98,27109873.38,24618811.99,25643605.57,-2977920.84,2491061.3900000006,-1024793.5800000019,-10.98,10.12,-4.0,0,2.32,8896.331919999993,8912.470350000007,8996.891415,9265.325326666662,56.912419502644795,51.72959433966362,60.15640205125145,231.55509999999958,204.32263612373245,8927.360958333335,9113.703134615384,-186.34217628204897,-316.0639722222214,259.4435918803449,60.49739113456858,65.36915648234633,50.753860439013096,9291.12500985429,8996.891415000011,8702.657820145732
392,399001.SZ,20190603,8856.9866,8953.3691,9012.0826,8826.7496,8922.6946,-65.708,-0.7364,273451165.0,271098733.8,185.33300000000054,2.09,27109873.38,2710.99,24618811.99,2491061.39,10.12,24618811.99,25643605.57,24307376.5,2491061.3900000006,-1024793.5800000019,1336229.0700000003,10.12,-4.0,5.5,1,2.35,8953.816319999994,8946.395320000007,9013.95075,9316.638449999993,36.137394511484324,61.92726378025368,61.68669556786932,-80.22110000000066,143.68528859212196,8948.354050000002,9170.933884615384,-222.57983461538242,-350.6464539173782,256.1332386039916,63.4343128588074,64.8436104599873,60.6157176564476,9287.374707547671,9013.95075000001,8740.52679245235
393,399001.SZ,20190531,8922.6946,8939.411,9016.1603,8892.12,8943.349,-20.6544,-0.2309,248794738.0,246188119.9,124.04029999999875,1.39,24618811.99,2461.88,25643605.57,-1024793.58,-4.0,25643605.57,24307376.5,27227345.07,-1024793.5800000019,1336229.0700000003,-2919968.5700000003,-4.0,5.5,-10.72,0,2.37,8978.384299999994,8952.307350000006,9018.277449999998,9366.219853333325,40.35377103850159,60.30137495588639,65.29190233255643,-113.15980000000127,34.324411528120415,8984.715483333335,9219.690546153844,-234.97506282050927,-386.88144686609627,303.812768091174,78.6868262338401,67.53951007573876,100.98145855004276,9284.266757225407,9018.27745000001,8752.288142774614
394,399001.SZ,20190530,8943.349,8974.4042,8974.4042,8845.8263,9010.358,-67.009,-0.7437,264232017.0,256436055.7,128.57790000000023,1.44,25643605.57,2564.36,24307376.5,1336229.07,5.5,24307376.5,27227345.07,25890122.06,1336229.0700000003,-2919968.5700000003,1337223.0100000016,5.5,-10.72,5.16,1,2.37,8949.198479999994,8960.056740000007,9055.86945,9411.718063333326,61.769158002512846,50.91763103627106,63.184942104558964,97.8747000000003,64.5587370613886,9012.743383333334,9269.752546153846,-257.00916282051185,-422.0626807692303,330.10703589743696,80.4390940173857,74.18674437001113,92.94379331213486,9442.399074795465,9055.869450000011,8669.339825204557
